,Model,MSE,RMSE,R2
0,LinearRegression(),150.17948717948718,12.254774056647767,0.5735827551688406
1,DecisionTreeRegressor(random_state=1),94.27350427350427,9.709454375684777,0.733048072504485
2,RandomForestRegressor(random_state=1),94.8931623931624,9.741312149457197,0.7323469549603974
3,"GradientBoostingRegressor(learning_rate=0.08, random_state=1)",97.01709401709402,9.849725580801428,0.724353530941112
